longitude,latitude,altitude,Name,Source_File
106.62181,20.81541,0.0,Pole 1 new Jb,364. Route 128010-128117.csv
106.6219,20.81539,0.0,Pole 2,364. Route 128010-128117.csv
106.62208,20.81536,0.0,Pole 3,364. Route 128010-128117.csv
106.6221208213158,20.81507635657706,0.0,Pole 4,364. Route 128010-128117.csv
106.6221525859872,20.8147441571413,0.0,Pole 5 new Jb,364. Route 128010-128117.csv
106.6221577410871,20.81475359335673,0.0,Path Measure,364. Route 128010-128117.csv
106.6220759294637,20.81536629823999,0.0,Path Measure,364. Route 128010-128117.csv
106.6218062310166,20.81541680776438,0.0,Path Measure,364. Route 128010-128117.csv
106.6235897397607,20.81388086402162,0.0,Pole 1 new Jb,364. Route 128010-128117.csv
106.6236991824908,20.81320629301546,0.0,Pole 3 new Jb,364. Route 128010-128117.csv
106.6236786108449,20.81357553806899,0.0,Pole 2,364. Route 128010-128117.csv
106.6235863420365,20.81387925207834,0.0,Path Measure,364. Route 128010-128117.csv
106.623678549332,20.81358509473424,0.0,Path Measure,364. Route 128010-128117.csv
106.623701405675,20.81321090559471,0.0,Path Measure,364. Route 128010-128117.csv
106.6581589920995,20.79000364164658,0.0,128117,364. Route 128010-128117.csv
106.6216676897019,20.8149942083175,0.0,128010,364. Route 128010-128117.csv
106.621669862677,20.81500815071253,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6218118767228,20.81542063945172,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6220745758849,20.81537219545723,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6221518417328,20.81474803849537,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6222495210359,20.81416277082279,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6223273678847,20.81357917856791,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6231194544254,20.81374359677217,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6235913427869,20.81386078260177,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6236749760595,20.81357978031863,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6237034105602,20.81312484826578,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6237749763475,20.81196791326373,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6238099885982,20.81140008306311,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6239389969487,20.80902447545299,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6239653834945,20.80776133796412,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6240787141847,20.80597695202467,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6242274860845,20.80430231520114,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6243933490173,20.80423663283948,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6256981194363,20.80428556753081,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6256513012927,20.80355966903785,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6259002502377,20.80342311401265,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6262681143771,20.80321400106288,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6263260906379,20.80296389764352,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6263782802428,20.80257470890859,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6272730379596,20.80115652841463,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6277112872737,20.8004213148486,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6283078612603,20.79926538964981,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6299020666547,20.79612689922967,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6310315350868,20.79398409810936,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6313613998777,20.79338566075941,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6315666459517,20.7930121071485,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6326968055437,20.79242093303437,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6336346918242,20.79222926259365,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6353823391624,20.79214443939414,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6369619333216,20.792102150419,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6390795336243,20.79199966673586,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6455048324302,20.79184353960222,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6484680987901,20.79164606198819,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6507588706613,20.79137557647053,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6522479948996,20.79120693507974,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6534412125705,20.79114838310601,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6548938350933,20.79113943707031,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6556832104261,20.79099700759679,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6556751796412,20.7908679363341,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6567040580032,20.79053402461297,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6572471898066,20.79038360175202,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6578668983774,20.79032743755245,0.0,128010 - 128117,364. Route 128010-128117.csv
106.658116695208,20.79037572205602,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6581628652805,20.79003296836876,0.0,128010 - 128117,364. Route 128010-128117.csv
106.6605721818068,20.791309773172,0.0,TT32 372  E2.14-1,364. Route 128010-128117.csv
106.6579170464637,20.7903719311358,0.0,TT29 372  E2.14-1,364. Route 128010-128117.csv
106.6221601433167,20.81472947694517,0.0,1.1 Hoàng Quốc Việt,364. Route 128010-128117.csv
106.6223196667764,20.81358884352226,0.0,1.5  Hoàng Quốc Việt,364. Route 128010-128117.csv
106.6222548482029,20.81417065781138,0.0,1.3  Hoàng Quốc Việt,364. Route 128010-128117.csv
106.6235880394575,20.81387820250243,0.0,1.10  Hoàng Quốc Việt,364. Route 128010-128117.csv
106.6228323708571,20.81368463771048,0.0,1.7  Hoàng Quốc Việt,364. Route 128010-128117.csv
106.623700394341,20.8132101119274,0.0,HT02,364. Route 128010-128117.csv
106.623673009355,20.81358073236086,0.0,HT01,364. Route 128010-128117.csv
106.6237258478304,20.81305140282857,0.0,3.1 Hoà Bình,364. Route 128010-128117.csv
106.6239020588262,20.80970945823318,0.0,3.10 Hoà Bình,364. Route 128010-128117.csv
106.6238179131641,20.81136962209739,0.0,3.5  Hoà Bình,364. Route 128010-128117.csv
106.6239215869015,20.8093071479332,0.0,1.1 Lương Khánh Thiện,364. Route 128010-128117.csv
106.6240041120198,20.80744777584415,0.0,1.5 Lương Khánh Thiện,364. Route 128010-128117.csv
106.6241003773426,20.80575616324286,0.0,1.9  Lương Khánh Thiện,364. Route 128010-128117.csv
106.6241152246934,20.80557020438845,0.0,1.7 Quận Uỷ 1,364. Route 128010-128117.csv
106.6242296468695,20.80428741194954,0.0,1.11  Quận Uỷ 1,364. Route 128010-128117.csv
106.6245365074429,20.80423467521398,0.0,1.11/1.1  Quận Uỷ 1,364. Route 128010-128117.csv
106.6248949528368,20.80425825768017,0.0,2.5 Trần Phú 1,364. Route 128010-128117.csv
106.6252464850421,20.80424905151657,0.0,2.6 Trần Phú 1,364. Route 128010-128117.csv
106.6256901950742,20.80426285980323,0.0,2.13 Bưu Điện,364. Route 128010-128117.csv
106.6256847885605,20.80397567426519,0.0,2.3 Trần Phú 1,364. Route 128010-128117.csv
106.6256749960776,20.80351170109626,0.0,2.1 Trần Phú 1,364. Route 128010-128117.csv
106.6259093451117,20.80341198470945,0.0,3.23 Trần Phú 1,364. Route 128010-128117.csv
106.6263376000377,20.80320152330937,0.0,3.24 Trần Phú 1,364. Route 128010-128117.csv
106.6263263800233,20.8029567040228,0.0,3.25 Phù Liên 4,364. Route 128010-128117.csv
106.6263819104974,20.80256860340264,0.0,3.26 Phù Liên 4,364. Route 128010-128117.csv
106.6271866358042,20.80131157426982,0.0,3.20 Phù Liên 4,364. Route 128010-128117.csv
106.6277083603691,20.8004181366797,0.0,3.18 Phù Liên 4,364. Route 128010-128117.csv
106.62772080585,20.80020854180911,0.0,2.29 Lý Thường Kiệt,364. Route 128010-128117.csv
106.6290359451902,20.79776691399367,0.0,2.26  Lý Thường Kiệt,364. Route 128010-128117.csv
106.6292606248786,20.79747653509746,0.0,2.10  Lý Thường Kiệt,364. Route 128010-128117.csv
106.6298618071587,20.79624092731898,0.0,2.1  Lý Thường Kiệt,364. Route 128010-128117.csv
106.6300031642868,20.79599866077325,0.0,2.2 Sách & Trường Học,364. Route 128010-128117.csv
106.6336460160673,20.79222384373525,0.0,2.19  Sách & Trường Học,364. Route 128010-128117.csv
106.6315044536003,20.79324308866421,0.0,2.12  Sách & Trường Học,364. Route 128010-128117.csv
106.6309625855721,20.79423973535384,0.0,2.8 Sách & Trường Học,364. Route 128010-128117.csv
106.6322857255976,20.79269904059365,0.0,2.15  Sách & Trường Học,364. Route 128010-128117.csv
106.6339438504288,20.79220664956642,0.0,2.18 Đẩu Sơn 4,364. Route 128010-128117.csv
106.6394802490208,20.79206381140466,0.0,2.2  Đẩu Sơn 4,364. Route 128010-128117.csv
106.6371887555348,20.79215206451099,0.0,2.8  Đẩu Sơn 4,364. Route 128010-128117.csv
106.6398301029032,20.79204122017995,0.0,1.21  Đẩu Sơn 5,364. Route 128010-128117.csv
106.6434847178415,20.79198717769189,0.0,1.12   Đẩu Sơn 5,364. Route 128010-128117.csv
106.641872841642,20.79198133323261,0.0,1.16  Đẩu Sơn 5,364. Route 128010-128117.csv
106.643909780168,20.79194415400053,0.0,2.5/1.3   Đẩu Sơn 5,364. Route 128010-128117.csv
106.6448349604852,20.79188896307488,0.0,2.5 Đẩu Sơn 5,364. Route 128010-128117.csv
106.6450428605596,20.79188679566501,0.0,2.2.1 Đẩu Sơn 5,364. Route 128010-128117.csv
106.6454965668171,20.79186933871214,0.0,2.2.2 Đẩu Sơn 5,364. Route 128010-128117.csv
106.6458614355242,20.79183995566785,0.0,2.5 Đẩu Sơn 3,364. Route 128010-128117.csv
106.6472718697142,20.79178611063173,0.0,2.1 Đẩu Sơn 3,364. Route 128010-128117.csv
106.6465237961744,20.7918207473231,0.0,2.3 Đẩu Sơn 3,364. Route 128010-128117.csv
106.6475789589421,20.79178848370979,0.0,1.2 Đẩu Sơn 3,364. Route 128010-128117.csv
106.6521160497932,20.79121445366661,0.0,1.13  Đẩu Sơn 3,364. Route 128010-128117.csv
106.6511083423673,20.79132103445299,0.0,1.10 Đẩu Sơn 3,364. Route 128010-128117.csv
106.6492967167176,20.7915820633457,0.0,1.5 Đẩu Sơn 3,364. Route 128010-128117.csv
106.6524268984753,20.79118500691492,0.0,2.4/2.1  Đẩu Sơn 2,364. Route 128010-128117.csv
106.6528008925714,20.79118892696143,0.0,2.4/2.2 Đẩu Sơn 2,364. Route 128010-128117.csv
106.6536690162524,20.79115623642964,0.0,2.4/1.1  Đẩu Sơn 2,364. Route 128010-128117.csv
106.655181331236,20.79112477517169,0.0,2.4/1.4,364. Route 128010-128117.csv
106.6556919208254,20.7910233375452,0.0,26 372 E2.4,364. Route 128010-128117.csv
106.6556908469294,20.79086409807619,0.0,HT 01,364. Route 128010-128117.csv
106.658110451292,20.79036497744261,0.0,HT 17,364. Route 128010-128117.csv
106.6577960880843,20.7903305532388,0.0,HT 15,364. Route 128010-128117.csv
106.6571034988234,20.79042081996391,0.0,HT 10,364. Route 128010-128117.csv
106.6563952063455,20.79062832999488,0.0,HT 5,364. Route 128010-128117.csv
106.627271,20.801138,0.0,MX01_Tuyến 6,364. Route 128010-128117.csv
105.8501947896386,20.99610141505708,0.0,124019-124033,92. Route 124033-124019.csv
105.8495545662695,20.99617990993745,0.0,124019-124033,92. Route 124033-124019.csv
105.8484919050044,20.99633260078857,0.0,124019-124033,92. Route 124033-124019.csv
105.8475735724095,20.9964431685991,0.0,124019-124033,92. Route 124033-124019.csv
105.8461066455721,20.99671345376391,0.0,124019-124033,92. Route 124033-124019.csv
105.8460207003211,20.99672651101669,0.0,124019-124033,92. Route 124033-124019.csv
105.8459530377626,20.99678578422079,0.0,124019-124033,92. Route 124033-124019.csv
105.8451768663677,20.9969757702095,0.0,124019-124033,92. Route 124033-124019.csv
105.8438711751305,20.99729320989845,0.0,124019-124033,92. Route 124033-124019.csv
105.8430680774571,20.99745896689662,0.0,124019-124033,92. Route 124033-124019.csv
105.8427191870578,20.99751504840989,0.0,124019-124033,92. Route 124033-124019.csv
105.8424621818732,20.99752413547565,0.0,124019-124033,92. Route 124033-124019.csv
105.8424678650158,20.99768324201298,0.0,124019-124033,92. Route 124033-124019.csv
105.8501967277496,20.99609764566824,0.0,DT 1 new Jb,92. Route 124033-124019.csv
105.8497434862139,20.99615617892479,0.0,DT 2,92. Route 124033-124019.csv
105.8494596730795,20.99620549415562,0.0,DT 3,92. Route 124033-124019.csv
105.8489763949164,20.99626445305232,0.0,DT 4,92. Route 124033-124019.csv
105.8483881342231,20.99634226269113,0.0,DT 5,92. Route 124033-124019.csv
105.8475604096576,20.99644748712774,0.0,DT 7,92. Route 124033-124019.csv
105.8469873032563,20.9965411248765,0.0,DT 8,92. Route 124033-124019.csv
105.8465637290554,20.99662202490114,0.0,DT 9,92. Route 124033-124019.csv
105.8460297192415,20.99672215399143,0.0,DT 10,92. Route 124033-124019.csv
105.8459486352642,20.99678578421809,0.0,DT 11,92. Route 124033-124019.csv
105.8455448020712,20.99688419597139,0.0,DT 12,92. Route 124033-124019.csv
105.8448913927684,20.9970492712523,0.0,DT 13,92. Route 124033-124019.csv
105.8444661446025,20.99714835222748,0.0,DT 14,92. Route 124033-124019.csv
105.8441567284889,20.997222161309,0.0,DT 15,92. Route 124033-124019.csv
105.8435729722162,20.99735319246424,0.0,DT 16,92. Route 124033-124019.csv
105.842864310332,20.9974883625182,0.0,DT 17,92. Route 124033-124019.csv
105.8424683357481,20.9975286287164,0.0,DT 18,92. Route 124033-124019.csv
105.8479347585059,20.99639651948248,0.0,DT 6,92. Route 124033-124019.csv
105.8424667070151,20.99767994000436,0.0,DT 19 new Jb,92. Route 124033-124019.csv
105.8605857572808,20.99552871710926,0.0,124033-124037,92. Route 124033-124019.csv
105.8605682848988,20.99554837907795,0.0,124033-124037,92. Route 124033-124019.csv
105.8604042664322,20.99550739744751,0.0,124033-124037,92. Route 124033-124019.csv
105.8602224580668,20.99545295264238,0.0,124033-124037,92. Route 124033-124019.csv
105.859826859835,20.99536642389655,0.0,124033-124037,92. Route 124033-124019.csv
105.8593815622863,20.99524323939163,0.0,124033-124037,92. Route 124033-124019.csv
105.8587339540901,20.9951007821668,0.0,124033-124037,92. Route 124033-124019.csv
105.8579592886108,20.99498979140135,0.0,124033-124037,92. Route 124033-124019.csv
105.8569896563907,20.99493792273201,0.0,124033-124037,92. Route 124033-124019.csv
105.8559865498801,20.99504242043076,0.0,124033-124037,92. Route 124033-124019.csv
105.8551844977879,20.99512744706237,0.0,124033-124037,92. Route 124033-124019.csv
105.8542139369382,20.99524736861848,0.0,124033-124037,92. Route 124033-124019.csv
105.8528804873,20.99538496923497,0.0,124033-124037,92. Route 124033-124019.csv
105.8518391284938,20.99552043160493,0.0,124033-124037,92. Route 124033-124019.csv
105.8506292224565,20.9956716277806,0.0,124033-124037,92. Route 124033-124019.csv
105.8501081139389,20.99574234730604,0.0,124033-124037,92. Route 124033-124019.csv
105.850028912838,20.99573814116181,0.0,124033-124037,92. Route 124033-124019.csv
105.849970026088,20.99564694088946,0.0,124033-124037,92. Route 124033-124019.csv
105.8499426968662,20.99565850911992,0.0,124033-124037,92. Route 124033-124019.csv
105.8497839401658,20.9956730892322,0.0,124033-124037,92. Route 124033-124019.csv
105.8497550818756,20.99567647004883,0.0,124033-124037,92. Route 124033-124019.csv
105.8497302803708,20.99570717568815,0.0,124033-124037,92. Route 124033-124019.csv
105.8496597295137,20.99574421694822,0.0,124033-124037,92. Route 124033-124019.csv
105.8496672863985,20.9958217141399,0.0,124033-124037,92. Route 124033-124019.csv
105.8605908091074,20.9955234605062,0.0,Pole 1. Put new JB,92. Route 124033-124019.csv
105.8602783681955,20.99546993341418,0.0,DT 1,92. Route 124033-124019.csv
105.8598098446964,20.99535680200436,0.0,DT 2,92. Route 124033-124019.csv
105.8591504704326,20.99519309729487,0.0,DT 3,92. Route 124033-124019.csv
105.8586721815927,20.99509885019288,0.0,DT 4,92. Route 124033-124019.csv
105.8582477644411,20.9950342089226,0.0,DT 5,92. Route 124033-124019.csv
105.8578265569315,20.99498346594639,0.0,DT 6,92. Route 124033-124019.csv
105.857420413117,20.99496939458284,0.0,DT 7,92. Route 124033-124019.csv
105.8572229601705,20.99494274321218,0.0,DT 8,92. Route 124033-124019.csv
105.8569564646828,20.9949458745095,0.0,DT 9,92. Route 124033-124019.csv
105.85658775731,20.99498769331357,0.0,DT 10,92. Route 124033-124019.csv
105.8562239771194,20.99501846086846,0.0,DT 11,92. Route 124033-124019.csv
105.8558208373494,20.99506211908874,0.0,DT 12,92. Route 124033-124019.csv
105.8549137169033,20.99516294936732,0.0,DT 13,92. Route 124033-124019.csv
105.8546694748083,20.99520082439427,0.0,DT 14,92. Route 124033-124019.csv
105.8541318475676,20.99527023885537,0.0,DT 15,92. Route 124033-124019.csv
105.8535894096826,20.99531981605617,0.0,DT 16,92. Route 124033-124019.csv
105.8529840959333,20.99538140381446,0.0,DT 17,92. Route 124033-124019.csv
105.8524340228864,20.99546309718054,0.0,DT 18,92. Route 124033-124019.csv
105.8518521713737,20.99551881145313,0.0,DT 19,92. Route 124033-124019.csv
105.8514124147251,20.99557951299674,0.0,DT 20,92. Route 124033-124019.csv
105.8509042565729,20.99564674451995,0.0,DT 21,92. Route 124033-124019.csv
105.8504135245514,20.99570944865332,0.0,DT 22,92. Route 124033-124019.csv
105.8502536767036,20.99572346334135,0.0,DT 23,92. Route 124033-124019.csv
105.8500573852851,20.99573897067203,0.0,DT 24,92. Route 124033-124019.csv
105.8499702261753,20.99564582384569,0.0,DT 25,92. Route 124033-124019.csv
105.8499346524431,20.99566062601562,0.0,DT 26,92. Route 124033-124019.csv
105.8497593270629,20.99567287015556,0.0,DT 27,92. Route 124033-124019.csv
105.8497073407373,20.99572262522754,0.0,DT 28,92. Route 124033-124019.csv
105.8496548658228,20.99574372560706,0.0,DT 29,92. Route 124033-124019.csv
105.8498313460596,20.99596143595024,0.0,su co 019-033\,92. Route 124033-124019.csv
105.8498983113631,20.99580578479546,0.0,su co 019-033\,92. Route 124033-124019.csv
105.8496660162804,20.99582728428558,0.0,su co 019-033\,92. Route 124033-124019.csv
105.8498399075168,20.99596183267181,0.0,Pole 3 new Jb,92. Route 124033-124019.csv
105.849671354221,20.99582112562795,0.0,Pole 1 new Jb,92. Route 124033-124019.csv
105.8499062154465,20.99580642784621,0.0,Pole 2,92. Route 124033-124019.csv
105.83649,21.003496,0.0,DT 1. Put new JB,92. Route 124033-124019.csv
105.837184,21.003705,0.0,DT 2,92. Route 124033-124019.csv
105.837557,21.003829,0.0,DT 3,92. Route 124033-124019.csv
105.837746,21.003887,0.0,DT 4,92. Route 124033-124019.csv
105.838287157626,21.0040451228679,0.0,DT 5,92. Route 124033-124019.csv
105.838517,21.004101,0.0,DT 6,92. Route 124033-124019.csv
105.8390335848759,21.00421507891074,0.0,DT 7,92. Route 124033-124019.csv
105.8393404143135,21.00426447523147,0.0,DT 8,92. Route 124033-124019.csv
105.839796026287,21.00425767062288,0.0,DT 9,92. Route 124033-124019.csv
105.8401486216303,21.00427246724848,0.0,DT 10,92. Route 124033-124019.csv
105.840753,21.004235,0.0,DT 11,92. Route 124033-124019.csv
105.841034,21.004243,0.0,DT 12,92. Route 124033-124019.csv
105.8410277732137,21.00414131881786,0.0,DT 13,92. Route 124033-124019.csv
105.841251,21.004466,0.0,DT 15,92. Route 124033-124019.csv
105.8415832117894,21.00450506645492,0.0,Put new JB at the DT 16.,92. Route 124033-124019.csv
105.8412318821963,21.00414294802706,0.0,DT 14,92. Route 124033-124019.csv
105.8364975846145,21.00355181401972,0.0,124019 - 124033,92. Route 124033-124019.csv
105.8371956756845,21.00372975672327,0.0,124019 - 124033,92. Route 124033-124019.csv
